id,planet,star,method,year,radius,mass
69,BD-11 4672 b,BD-11 4672,Radial Velocity,2014,NA,NA
70,BD-11 4672 c,BD-11 4672,Radial Velocity,2020,NA,NA
71,BD-13 2130 b,BD-13 2130,Radial Velocity,2007,NA,NA
72,BD-17 63 b,BD-17 63,Radial Velocity,2008,NA,NA
73,CD Cet b,CD Cet,Radial Velocity,2020,NA,NA
74,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011,NA,3337.1
75,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,2021,20.849,2479.06157
76,CHXR 73 b,CHXR 73,Imaging,2006,NA,3994.486
77,CI Tau b,CI Tau,Radial Velocity,2019,NA,3686.828
78,COCONUTS-2 b,COCONUTS-2 A,Imaging,2021,12.442,2002.31896
79,CT Cha b,CT Cha,Imaging,2007,24.66,5403
80,CoRoT-1 b,CoRoT-1,Transit,2008,16.7,327.35
81,CoRoT-10 b,CoRoT-10,Transit,2010,10.87,874
82,CoRoT-11 b,CoRoT-11,Transit,2010,16.03,740.51
83,CoRoT-12 b,CoRoT-12,Transit,2010,16.14,291.438
84,CoRoT-13 b,CoRoT-13,Transit,2010,9.92,415.704
85,CoRoT-14 b,CoRoT-14,Transit,2010,12.22,2415.4
86,CoRoT-16 b,CoRoT-16,Transit,2011,13.11,170.032
87,CoRoT-17 b,CoRoT-17,Transit,2011,11.43,772.29
88,CoRoT-18 b,CoRoT-18,Transit,2011,14.68,1102.82
89,CoRoT-19 b,CoRoT-19,Transit,2011,14.46,352.78
90,CoRoT-2 b,CoRoT-2,Transit,2008,16.432,1102.82
91,CoRoT-20 b,CoRoT-20,Transit,2011,NA,1366.669
92,CoRoT-20 c,CoRoT-20,Radial Velocity,2018,NA,NA
93,CoRoT-21 b,CoRoT-21,Transit,2012,14.572,718.2958
94,CoRoT-22 b,CoRoT-22,Transit,2014,4.88,12.2
95,CoRoT-23 b,CoRoT-23,Transit,2011,11.77,889.9
96,CoRoT-24 b,CoRoT-24,Transit,2014,3.7,5.7
97,CoRoT-24 c,CoRoT-24,Transit,2014,5,28
98,CoRoT-25 b,CoRoT-25,Transit,2013,12.11,85.81
99,CoRoT-26 b,CoRoT-26,Transit,2013,14.12,165.26
100,CoRoT-27 b,CoRoT-27,Transit,2014,11.287,3302.11
101,CoRoT-28 b,CoRoT-28,Transit,2015,10.705,153.82972
102,CoRoT-29 b,CoRoT-29,Transit,2015,10.088,270.1555
103,CoRoT-3 b,CoRoT-3,Transit,2008,11.32,6883.91
104,CoRoT-30 b,CoRoT-30,Transit,2020,11.31,921.707
105,CoRoT-31 b,CoRoT-31,Transit,2020,16.365,266.9772
106,CoRoT-35 b,CoRoT-35,Transit,2022,18.831,349.61125
107,CoRoT-36 b,CoRoT-36,Transit,2022,15.805,216.12332
108,CoRoT-4 b,CoRoT-4,Transit,2008,13.34,228.83
109,CoRoT-5 b,CoRoT-5,Transit,2009,15.558,148.42
110,CoRoT-6 b,CoRoT-6,Transit,2009,13.068,940.74
111,CoRoT-7 b,CoRoT-7,Transit,2009,1.681,4.07661
112,CoRoT-7 c,CoRoT-7,Radial Velocity,2009,NA,8.4
113,CoRoT-7 d,CoRoT-7,Radial Velocity,2022,NA,17.142
114,CoRoT-8 b,CoRoT-8,Transit,2010,6.39,69.92
115,CoRoT-9 b,CoRoT-9,Transit,2009,11.949,266.9772
116,CoRoTID 223977153 b,CoRoTID 223977153,Transit,2017,6.389,47.6745
117,DE CVn b,DE CVn,Eclipse Timing Variations,2018,NA,NA
118,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,Astrometry,2013,NA,9057.77
119,DH Tau b,DH Tau,Imaging,2004,NA,3496
120,DMPP-1 b,DMPP-1,Radial Velocity,2019,NA,NA
121,DMPP-1 c,DMPP-1,Radial Velocity,2019,NA,NA
122,DMPP-1 d,DMPP-1,Radial Velocity,2019,NA,NA
123,DMPP-1 e,DMPP-1,Radial Velocity,2019,NA,NA
124,DMPP-2 b,DMPP-2,Radial Velocity,2019,NA,NA
125,DMPP-3 A b,DMPP-3 A,Radial Velocity,2019,NA,NA
126,DP Leo b,DP Leo,Eclipse Timing Variations,2009,NA,NA
127,DS Tuc A b,DS Tuc A,Transit,2019,5.7,NA
128,EPIC 201170410.02,EPIC 201170410,Transit,2020,1.047,NA
129,EPIC 201238110 b,EPIC 201238110,Transit,2019,1.87,NA
130,EPIC 201427007 b,EPIC 201427007,Transit,2021,1.5,NA
131,EPIC 201497682 b,EPIC 201497682,Transit,2019,0.692,NA
132,EPIC 201595106 b,EPIC 201595106,Transit,2021,1.3,NA
133,EPIC 201615463 c,K2-166,Transit,2019,1.22,NA
134,EPIC 201754305 d,K2-16,Transit,2019,1.03,NA
135,EPIC 201757695.02,EPIC 201757695,Transit,2020,0.908,NA
136,EPIC 201833600 c,K2-50,Transit,2019,1,NA
137,EPIC 201841433 b,EPIC 201841433,Transit,2019,1.04,NA
138,EPIC 205950854 c,K2-168,Transit,2019,1.31,NA
139,EPIC 206024342 b,EPIC 206024342,Transit,2019,1.7,NA
140,EPIC 206024342 c,EPIC 206024342,Transit,2021,1.4,NA
141,EPIC 206024342 d,EPIC 206024342,Transit,2021,2.6,NA
142,EPIC 206032309 b,EPIC 206032309,Transit,2019,1.01,NA
143,EPIC 206042996 b,EPIC 206042996,Transit,2019,1.7,NA
144,EPIC 206042996 c,EPIC 206042996,Transit,2021,1.2,NA
145,EPIC 206215704 b,EPIC 206215704,Transit,2019,1,NA
146,EPIC 206317286 b,EPIC 206317286,Transit,2019,0.96,NA
147,EPIC 206317286 c,EPIC 206317286,Transit,2022,2.094,NA
148,EPIC 211822797 b,EPIC 211822797,Transit,2016,1.92,NA
149,EPIC 211945201 b,EPIC 211945201,Transit,2018,5.76,NA
150,EPIC 212297394 b,EPIC 212297394,Transit,2019,1.48,NA
151,EPIC 212297394 c,EPIC 212297394,Transit,2016,2.27,NA
152,EPIC 212424622 b,EPIC 212424622,Transit,2019,2.17,NA
153,EPIC 212499991 b,EPIC 212499991,Transit,2019,1.6,NA
154,EPIC 212587672 b,EPIC 212587672,Transit,2019,1.26,NA
155,EPIC 212587672 c,EPIC 212587672,Transit,2016,2.32,NA
156,EPIC 212624936 b,EPIC 212624936,Transit,2021,1.2,NA
157,EPIC 212624936 c,EPIC 212624936,Transit,2021,2.3,NA
158,EPIC 212737443 b,EPIC 212737443,Transit,2019,2.586,NA
159,EPIC 212737443 c,EPIC 212737443,Transit,2019,2.69,NA
160,EPIC 220492298 b,EPIC 220492298,Transit,2021,0.99,NA
161,EPIC 220554210 c,K2-282,Transit,2019,1.6,NA
162,EPIC 220674823 b,EPIC 220674823,Transit,2016,1.6,NA
163,EPIC 220674823 c,EPIC 220674823,Transit,2016,2.2,NA
164,EPIC 228836835 b,EPIC 228836835,Transit,2021,1.1,NA
165,EPIC 246851721 b,EPIC 246851721,Transit,2018,11.781,953.49
166,EPIC 248847494 b,EPIC 248847494,Transit,2018,12.442,4131.79
167,EPIC 249893012 b,EPIC 249893012,Transit,2020,1.95,8.75
168,EPIC 249893012 c,EPIC 249893012,Transit,2020,3.67,14.67
169,EPIC 249893012 d,EPIC 249893012,Transit,2020,3.94,10.18
170,FU Tau b,FU Tau,Imaging,2008,NA,5085.28
171,G 264-012 b,G 264-012,Radial Velocity,2021,NA,NA
172,G 264-012 c,G 264-012,Radial Velocity,2021,NA,NA
173,G 9-40 b,G 9-40,Transit,2019,2.025,NA
174,GJ 1002 b,GJ 1002,Radial Velocity,2022,NA,NA
175,GJ 1002 c,GJ 1002,Radial Velocity,2022,NA,NA
176,GJ 1061 b,GJ 1061,Radial Velocity,2020,NA,NA
177,GJ 1061 c,GJ 1061,Radial Velocity,2020,NA,NA
178,GJ 1061 d,GJ 1061,Radial Velocity,2020,NA,NA
179,GJ 1132 b,GJ 1132,Transit,2015,1.13,1.66
180,GJ 1132 c,GJ 1132,Radial Velocity,2018,NA,NA
181,GJ 1148 b,GJ 1148,Radial Velocity,2010,NA,NA
182,GJ 1148 c,GJ 1148,Radial Velocity,2017,NA,NA
183,GJ 1214 b,GJ 1214,Transit,2009,2.742,8.17
184,GJ 1252 b,GJ 1252,Transit,2020,1.18,1.32
185,GJ 1265 b,GJ 1265,Radial Velocity,2018,NA,NA
186,GJ 143 b,GJ 143,Transit,2019,2.61,22.7
187,GJ 15 A b,GJ 15 A,Radial Velocity,2014,NA,NA
188,GJ 15 A c,GJ 15 A,Radial Velocity,2018,NA,NA
189,GJ 160.2 b,GJ 160.2,Radial Velocity,2014,NA,NA
190,GJ 163 b,GJ 163,Radial Velocity,2013,NA,NA
191,GJ 163 c,GJ 163,Radial Velocity,2013,NA,NA
192,GJ 163 d,GJ 163,Radial Velocity,2013,NA,NA
193,GJ 179 b,GJ 179,Radial Velocity,2009,NA,NA
194,GJ 180 b,GJ 180,Radial Velocity,2014,NA,NA
195,GJ 180 c,GJ 180,Radial Velocity,2014,NA,NA
196,GJ 180 d,GJ 180,Radial Velocity,2020,NA,NA
197,GJ 2030 b,GJ 2030,Radial Velocity,2022,NA,NA
198,GJ 2030 c,GJ 2030,Radial Velocity,2022,NA,4067.84698
199,GJ 2056 b,GJ 2056,Radial Velocity,2020,NA,NA
200,GJ 229 A c,GJ 229,Radial Velocity,2020,NA,NA
201,GJ 229 b,GJ 229,Radial Velocity,2014,NA,NA
202,GJ 251 b,GJ 251,Radial Velocity,2020,NA,NA
203,GJ 27.1 b,GJ 27.1,Radial Velocity,2014,NA,NA
204,GJ 273 b,GJ 273,Radial Velocity,2017,NA,NA
205,GJ 273 c,GJ 273,Radial Velocity,2017,NA,NA
206,GJ 3021 b,GJ 3021,Radial Velocity,2000,NA,NA
207,GJ 3082 b,GJ 3082,Radial Velocity,2020,NA,NA
208,GJ 3090 b,GJ 3090,Transit,2022,2.13,3.34
209,GJ 3138 b,GJ 3138,Radial Velocity,2017,NA,NA
210,GJ 3138 c,GJ 3138,Radial Velocity,2017,NA,NA
211,GJ 3138 d,GJ 3138,Radial Velocity,2017,NA,NA
212,GJ 317 b,GJ 317,Radial Velocity,2007,NA,NA
213,GJ 317 c,GJ 317,Radial Velocity,2018,NA,NA
214,GJ 3222 b,GJ 3222,Radial Velocity,2022,NA,NA
215,GJ 328 b,GJ 328,Radial Velocity,2013,NA,NA
216,GJ 3293 b,GJ 3293,Radial Velocity,2015,NA,NA
217,GJ 3293 c,GJ 3293,Radial Velocity,2015,NA,NA
218,GJ 3293 d,GJ 3293,Radial Velocity,2017,NA,NA
219,GJ 3293 e,GJ 3293,Radial Velocity,2017,NA,NA
220,GJ 3323 b,GJ 3323,Radial Velocity,2017,NA,NA
221,GJ 3323 c,GJ 3323,Radial Velocity,2017,NA,NA
222,GJ 3341 b,GJ 3341,Radial Velocity,2015,NA,NA
223,GJ 338 B b,GJ 338 B,Radial Velocity,2020,NA,NA
224,GJ 3470 b,GJ 3470,Radial Velocity,2012,4.57,13.9
225,GJ 3473 b,GJ 3473,Transit,2020,1.264,1.86
226,GJ 3473 c,GJ 3473,Radial Velocity,2020,NA,NA
227,GJ 3512 b,GJ 3512,Radial Velocity,2019,NA,NA
228,GJ 3512 c,GJ 3512,Radial Velocity,2020,NA,NA
229,GJ 357 b,GJ 357,Transit,2019,1.217,1.84
230,GJ 357 c,GJ 357,Radial Velocity,2019,NA,NA
231,GJ 357 d,GJ 357,Radial Velocity,2019,NA,NA
232,GJ 3634 b,GJ 3634,Radial Velocity,2010,NA,8.4
233,GJ 367 b,GJ 367,Transit,2021,0.718,0.546
234,GJ 3779 b,GJ 3779,Radial Velocity,2018,NA,NA
235,GJ 3929 b,GJ 3929,Transit,2022,1.09,1.75
236,GJ 3929 c,GJ 3929,Radial Velocity,2022,NA,NA
237,GJ 393 b,GJ 393,Radial Velocity,2021,NA,NA
238,GJ 3942 b,GJ 3942,Radial Velocity,2017,NA,NA
239,GJ 3998 b,GJ 3998,Radial Velocity,2016,NA,NA
240,GJ 3998 c,GJ 3998,Radial Velocity,2016,NA,NA
241,GJ 411 b,GJ 411,Radial Velocity,2019,NA,NA
242,GJ 414 A b,GJ 414 A,Radial Velocity,2021,2.63,NA
243,GJ 414 A c,GJ 414 A,Radial Velocity,2021,8.4,NA
244,GJ 422 b,GJ 422,Radial Velocity,2014,NA,NA
245,GJ 4276 b,GJ 4276,Radial Velocity,2019,NA,NA
246,GJ 433 b,GJ 433,Radial Velocity,2011,NA,NA
247,GJ 433 c,GJ 433,Radial Velocity,2014,NA,NA
248,GJ 433 d,GJ 433,Radial Velocity,2020,NA,NA
249,GJ 436 b,GJ 436,Radial Velocity,2004,4.17,22.1
250,GJ 480 b,GJ 480,Radial Velocity,2020,NA,NA
251,GJ 486 b,GJ 486,Radial Velocity,2021,1.305,2.82
252,GJ 504 b,GJ 504,Imaging,2013,NA,1271.3
253,GJ 514 b,GJ 514,Radial Velocity,2022,NA,NA
254,GJ 536 b,GJ 536,Radial Velocity,2016,NA,NA
255,GJ 581 b,GJ 581,Radial Velocity,2005,NA,NA
256,GJ 581 c,GJ 581,Radial Velocity,2007,NA,NA
257,GJ 581 e,GJ 581,Radial Velocity,2009,NA,NA
258,GJ 625 b,GJ 625,Radial Velocity,2017,NA,NA
259,GJ 649 b,GJ 649,Radial Velocity,2009,NA,NA
260,GJ 667 C b,GJ 667 C,Radial Velocity,2011,NA,NA
261,GJ 667 C c,GJ 667 C,Radial Velocity,2011,NA,NA
262,GJ 667 C e,GJ 667 C,Radial Velocity,2013,NA,NA
263,GJ 667 C f,GJ 667 C,Radial Velocity,2013,NA,NA
264,GJ 667 C g,GJ 667 C,Radial Velocity,2013,NA,NA
265,GJ 674 b,GJ 674,Radial Velocity,2007,NA,NA
266,GJ 676 A b,GJ 676 A,Radial Velocity,2010,NA,1837.01057
267,GJ 676 A c,GJ 676 A,Radial Velocity,2016,NA,4271.00959
268,GJ 676 A d,GJ 676 A,Radial Velocity,2012,NA,NA
269,GJ 676 A e,GJ 676 A,Radial Velocity,2012,NA,NA
270,GJ 680 b,GJ 680,Radial Velocity,2022,NA,7764.94529
271,GJ 682 b,GJ 682,Radial Velocity,2014,NA,NA
272,GJ 682 c,GJ 682,Radial Velocity,2014,NA,NA
273,GJ 685 b,GJ 685,Radial Velocity,2019,NA,NA
274,GJ 687 b,GJ 687,Radial Velocity,2014,NA,NA
275,GJ 687 c,GJ 687,Radial Velocity,2020,NA,NA
276,GJ 720 A b,GJ 720 A,Radial Velocity,2021,NA,NA
277,GJ 740 b,GJ 740,Radial Velocity,2021,NA,NA
278,GJ 832 b,GJ 832,Radial Velocity,2008,NA,NA
279,GJ 849 b,GJ 849,Radial Velocity,2006,NA,NA
280,GJ 849 c,GJ 849,Radial Velocity,2014,NA,NA
281,GJ 86 b,GJ 86,Radial Velocity,1999,NA,NA
282,GJ 876 b,GJ 876,Radial Velocity,1998,NA,723.2235
283,GJ 876 c,GJ 876,Radial Velocity,2000,NA,226.9846
284,GJ 876 d,GJ 876,Radial Velocity,2005,NA,6.83
285,GJ 876 e,GJ 876,Radial Velocity,2010,NA,14.6
286,GJ 887 b,GJ 887,Radial Velocity,2020,NA,NA
287,GJ 887 c,GJ 887,Radial Velocity,2020,NA,NA
288,GJ 896 A b,GJ 896 A,Astrometry,2022,NA,718.2922
289,GJ 9066 c,GJ 9066,Radial Velocity,2020,NA,NA
290,GJ 96 b,GJ 96,Radial Velocity,2018,NA,NA
291,GJ 9689 b,GJ 9689,Radial Velocity,2020,NA,NA
292,GJ 9714 b,GJ 9714,Radial Velocity,2022,NA,3051.24439
293,GJ 9827 b,GJ 9827,Transit,2017,1.577,4.91
294,GJ 9827 c,GJ 9827,Transit,2017,1.241,0.84
295,GJ 9827 d,GJ 9827,Transit,2017,2.022,4.04
296,GPX-1 b,GPX-1,Transit,2021,16.477,6261.21962
297,GQ Lup b,GQ Lup,Imaging,2004,33.6,6356
298,GSC 06214-00210 b,GSC 06214-00210,Imaging,2010,NA,5000
299,GU Psc b,GU Psc,Imaging,2014,14.179,3591.3
300,Gaia-1 b,Gaia-1,Transit,2022,13.776,533.95172
301,Gaia-2 b,Gaia-2,Transit,2022,14.818,259.66581
302,Gl 378 b,Gl 378,Radial Velocity,2019,NA,NA
303,Gl 49 b,Gl 49,Radial Velocity,2019,NA,NA
304,Gl 686 b,Gl 686,Radial Velocity,2018,NA,NA
305,HAT-P-1 b,HAT-P-1,Transit,2006,14.785,166.86075
306,HAT-P-11 b,HAT-P-11,Transit,2008,4.36,NA
307,HAT-P-11 c,HAT-P-11,Radial Velocity,2018,NA,NA
308,HAT-P-12 b,HAT-P-12,Transit,2009,10.749,67.059
309,HAT-P-13 b,HAT-P-13,Transit,2009,14.258,270.462
310,HAT-P-13 c,HAT-P-13,Radial Velocity,2009,NA,NA
311,HAT-P-14 b,HAT-P-14,Transit,2010,15.917,1093.3352
312,HAT-P-15 b,HAT-P-15,Transit,2010,11.882,616.5902
313,HAT-P-16 b,HAT-P-16,Transit,2010,14.448,1332.605
314,HAT-P-17 b,HAT-P-17,Transit,2010,11.769,184.3414
315,HAT-P-17 c,HAT-P-17,Radial Velocity,2010,NA,NA
316,HAT-P-18 b,HAT-P-18,Transit,2010,11.153,62.61
317,HAT-P-19 b,HAT-P-19,Transit,2010,12.689,92.802
318,HAT-P-2 b,HAT-P-2,Transit,2007,NA,NA
319,HAT-P-20 b,HAT-P-20,Transit,2010,9.718,2302.899
320,HAT-P-21 b,HAT-P-21,Transit,2010,12.442,1547.8321
321,HAT-P-22 b,HAT-P-22,Transit,2010,12.89,785.0401
322,HAT-P-23 b,HAT-P-23,Transit,2010,12.218,425.8922
323,HAT-P-24 b,HAT-P-24,Transit,2010,14.572,238.3725
324,HAT-P-25 b,HAT-P-25,Transit,2010,12.722,180.84527
325,HAT-P-26 b,HAT-P-26,Transit,2010,7.062,22.2481
326,HAT-P-27 b,HAT-P-27,Transit,2011,11.43,197.05
327,HAT-P-28 b,HAT-P-28,Transit,2011,13.585,198.953
328,HAT-P-29 b,HAT-P-29,Transit,2011,13.115,279.6904
329,HAT-P-3 b,HAT-P-3,Transit,2007,10.536,206.5895
330,HAT-P-30 b,HAT-P-30,Transit,2011,16.141,263.7989
331,HAT-P-31 b,HAT-P-31,Transit,2011,12.218,721.4741
332,HAT-P-32 b,HAT-P-32,Transit,2011,22.194,216.1244
333,HAT-P-33 b,HAT-P-33,Transit,2011,20.737,292.4036
334,HAT-P-34 b,HAT-P-34,Transit,2011,13.417,1058.3739
335,HAT-P-35 b,HAT-P-35,Transit,2011,14.93,335.62848
336,HAT-P-36 b,HAT-P-36,Transit,2011,14.314,587.41341
337,HAT-P-37 b,HAT-P-37,Transit,2011,13.204,371.528
338,HAT-P-38 b,HAT-P-38,Transit,2012,9.247,84.857
339,HAT-P-39 b,HAT-P-39,Transit,2012,17.609,190.372
340,HAT-P-4 b,HAT-P-4,Transit,2007,14.28,213.255
341,HAT-P-40 b,HAT-P-40,Transit,2012,17.038,152.5584
342,HAT-P-41 b,HAT-P-41,Transit,2012,22.978,378.2177
343,HAT-P-42 b,HAT-P-42,Transit,2012,14.348,331.801
344,HAT-P-43 b,HAT-P-43,Transit,2012,13.63,NA
345,HAT-P-44 b,HAT-P-44,Transit,2014,13.922,111.871
346,HAT-P-44 c,HAT-P-44,Radial Velocity,2014,NA,NA
347,HAT-P-45 b,HAT-P-45,Transit,2014,15.984,283.492
348,HAT-P-46 b,HAT-P-46,Transit,2014,14.392,156.684
349,HAT-P-49 b,HAT-P-49,Transit,2014,17.822,699.226
350,HAT-P-5 b,HAT-P-5,Transit,2007,13.563,311.4734
351,HAT-P-50 b,HAT-P-50,Transit,2015,14.437,429.0705
352,HAT-P-51 b,HAT-P-51,Transit,2015,14.493,98.20947
353,HAT-P-52 b,HAT-P-52,Transit,2015,11.31,259.98494
354,HAT-P-53 b,HAT-P-53,Transit,2015,14.773,471.65972
355,HAT-P-54 b,HAT-P-54,Transit,2015,10.581,241.5508
356,HAT-P-55 b,HAT-P-55,Transit,2015,13.249,184.97706
357,HAT-P-56 b,HAT-P-56,Transit,2015,16.926,734.1873
358,HAT-P-57 b,HAT-P-57,Transit,2015,19.504,448.1403
359,HAT-P-58 b,HAT-P-58,Transit,2021,14.93,118.23217
360,HAT-P-59 b,HAT-P-59,Transit,2021,12.588,489.45575
361,HAT-P-6 b,HAT-P-6,Transit,2007,16.589,419.5356
362,HAT-P-60 b,HAT-P-60,Transit,2021,18.282,182.43351
363,HAT-P-61 b,HAT-P-61,Transit,2021,10.077,335.94463
364,HAT-P-62 b,HAT-P-62,Transit,2021,12.027,241.86742
365,HAT-P-63 b,HAT-P-63,Transit,2021,12.543,195.14664
366,HAT-P-64 b,HAT-P-64,Transit,2021,19.089,184.34048
367,HAT-P-65 b,HAT-P-65,Transit,2016,21.185,167.49641
368,HAT-P-66 b,HAT-P-66,Transit,2016,17.822,248.86089
369,HAT-P-67 b,HAT-P-67,Transit,2017,23.371,108.0622
370,HAT-P-68 b,HAT-P-68,Transit,2020,12.016,230.10892
371,HAT-P-69 b,HAT-P-69,Transit,2019,18.786,1137.8314
372,HAT-P-7 b,HAT-P-7,Transit,2008,16.926,584.8072
373,HAT-P-70 b,HAT-P-70,Transit,2019,20.961,2154.8874
374,HAT-P-8 b,HAT-P-8,Transit,2008,15.693,406.8224
375,HAT-P-9 b,HAT-P-9,Transit,2008,15.614,238.05467
376,HATS-1 b,HATS-1,Transit,2012,14.594,589.55
377,HATS-10 b,HATS-10,Transit,2015,10.862,167.17858
378,HATS-11 b,HATS-11,Transit,2016,18.03,NA
379,HATS-12 b,HATS-12,Transit,2016,7.76,NA
380,HATS-13 b,HATS-13,Transit,2015,13.585,172.58169
381,HATS-14 b,HATS-14,Transit,2015,11.646,340.39593
382,HATS-15 b,HATS-15,Transit,2016,12.386,689.6911
383,HATS-16 b,HATS-16,Transit,2016,14.572,1039.3041
384,HATS-17 b,HATS-17,Transit,2016,8.709,425.25654
385,HATS-18 b,HATS-18,Transit,2016,14.897,629.14449
386,HATS-2 b,HATS-2,Transit,2013,13.092,427.463
387,HATS-22 b,HATS-22,Transit,2017,10.682,870.8542
388,HATS-23 b,HATS-23,Transit,2017,20.849,467.2101
389,HATS-24 b,HATS-24,Transit,2017,15.637,718.2958
390,HATS-25 b,HATS-25,Transit,2016,14.123,194.82979
391,HATS-26 b,HATS-26,Transit,2016,19.616,206.5895
392,HATS-27 b,HATS-27,Transit,2016,16.814,168.4499
393,HATS-28 b,HATS-28,Transit,2016,13.384,213.58176
394,HATS-29 b,HATS-29,Transit,2016,14.022,207.54299
395,HATS-3 b,HATS-3,Transit,2013,15.48,340.382
396,HATS-30 b,HATS-30,Transit,2016,13.171,224.38798
397,HATS-31 b,HATS-31,Transit,2016,18.383,279.6904
398,HATS-32 b,HATS-32,Transit,2016,14,292.4036
399,HATS-33 b,HATS-33,Transit,2016,13.787,378.85336
