artist,track,date.entered,week,rank
2Ge+her,The Hardest Part Of ...,2000-09-02,wk23,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk24,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk25,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk26,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk27,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk28,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk29,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk30,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk31,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk32,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk33,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk34,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk35,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk36,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk37,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk38,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk39,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk40,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk41,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk42,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk43,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk44,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk45,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk46,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk47,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk48,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk49,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk50,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk51,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk52,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk53,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk54,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk55,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk56,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk57,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk58,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk59,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk60,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk61,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk62,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk63,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk64,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk65,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk66,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk67,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk68,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk69,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk70,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk71,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk72,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk73,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk74,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk75,NA
2Ge+her,The Hardest Part Of ...,2000-09-02,wk76,NA
3 Doors Down,Kryptonite,2000-04-08,wk1,81
3 Doors Down,Kryptonite,2000-04-08,wk2,70
3 Doors Down,Kryptonite,2000-04-08,wk3,68
3 Doors Down,Kryptonite,2000-04-08,wk4,67
3 Doors Down,Kryptonite,2000-04-08,wk5,66
3 Doors Down,Kryptonite,2000-04-08,wk6,57
3 Doors Down,Kryptonite,2000-04-08,wk7,54
3 Doors Down,Kryptonite,2000-04-08,wk8,53
3 Doors Down,Kryptonite,2000-04-08,wk9,51
3 Doors Down,Kryptonite,2000-04-08,wk10,51
3 Doors Down,Kryptonite,2000-04-08,wk11,51
3 Doors Down,Kryptonite,2000-04-08,wk12,51
3 Doors Down,Kryptonite,2000-04-08,wk13,47
3 Doors Down,Kryptonite,2000-04-08,wk14,44
3 Doors Down,Kryptonite,2000-04-08,wk15,38
3 Doors Down,Kryptonite,2000-04-08,wk16,28
3 Doors Down,Kryptonite,2000-04-08,wk17,22
3 Doors Down,Kryptonite,2000-04-08,wk18,18
3 Doors Down,Kryptonite,2000-04-08,wk19,18
3 Doors Down,Kryptonite,2000-04-08,wk20,14
3 Doors Down,Kryptonite,2000-04-08,wk21,12
3 Doors Down,Kryptonite,2000-04-08,wk22,7
3 Doors Down,Kryptonite,2000-04-08,wk23,6
3 Doors Down,Kryptonite,2000-04-08,wk24,6
3 Doors Down,Kryptonite,2000-04-08,wk25,6
3 Doors Down,Kryptonite,2000-04-08,wk26,5
3 Doors Down,Kryptonite,2000-04-08,wk27,5
3 Doors Down,Kryptonite,2000-04-08,wk28,4
3 Doors Down,Kryptonite,2000-04-08,wk29,4
3 Doors Down,Kryptonite,2000-04-08,wk30,4
3 Doors Down,Kryptonite,2000-04-08,wk31,4
3 Doors Down,Kryptonite,2000-04-08,wk32,3
3 Doors Down,Kryptonite,2000-04-08,wk33,3
3 Doors Down,Kryptonite,2000-04-08,wk34,3
3 Doors Down,Kryptonite,2000-04-08,wk35,4
3 Doors Down,Kryptonite,2000-04-08,wk36,5
3 Doors Down,Kryptonite,2000-04-08,wk37,5
3 Doors Down,Kryptonite,2000-04-08,wk38,9
3 Doors Down,Kryptonite,2000-04-08,wk39,9
3 Doors Down,Kryptonite,2000-04-08,wk40,15
3 Doors Down,Kryptonite,2000-04-08,wk41,14
3 Doors Down,Kryptonite,2000-04-08,wk42,13
3 Doors Down,Kryptonite,2000-04-08,wk43,14
3 Doors Down,Kryptonite,2000-04-08,wk44,16
3 Doors Down,Kryptonite,2000-04-08,wk45,17
3 Doors Down,Kryptonite,2000-04-08,wk46,21
3 Doors Down,Kryptonite,2000-04-08,wk47,22
3 Doors Down,Kryptonite,2000-04-08,wk48,24
3 Doors Down,Kryptonite,2000-04-08,wk49,28
3 Doors Down,Kryptonite,2000-04-08,wk50,33
3 Doors Down,Kryptonite,2000-04-08,wk51,42
3 Doors Down,Kryptonite,2000-04-08,wk52,42
3 Doors Down,Kryptonite,2000-04-08,wk53,49
3 Doors Down,Kryptonite,2000-04-08,wk54,NA
3 Doors Down,Kryptonite,2000-04-08,wk55,NA
3 Doors Down,Kryptonite,2000-04-08,wk56,NA
3 Doors Down,Kryptonite,2000-04-08,wk57,NA
3 Doors Down,Kryptonite,2000-04-08,wk58,NA
3 Doors Down,Kryptonite,2000-04-08,wk59,NA
3 Doors Down,Kryptonite,2000-04-08,wk60,NA
3 Doors Down,Kryptonite,2000-04-08,wk61,NA
3 Doors Down,Kryptonite,2000-04-08,wk62,NA
3 Doors Down,Kryptonite,2000-04-08,wk63,NA
3 Doors Down,Kryptonite,2000-04-08,wk64,NA
3 Doors Down,Kryptonite,2000-04-08,wk65,NA
3 Doors Down,Kryptonite,2000-04-08,wk66,NA
3 Doors Down,Kryptonite,2000-04-08,wk67,NA
3 Doors Down,Kryptonite,2000-04-08,wk68,NA
3 Doors Down,Kryptonite,2000-04-08,wk69,NA
3 Doors Down,Kryptonite,2000-04-08,wk70,NA
3 Doors Down,Kryptonite,2000-04-08,wk71,NA
3 Doors Down,Kryptonite,2000-04-08,wk72,NA
3 Doors Down,Kryptonite,2000-04-08,wk73,NA
3 Doors Down,Kryptonite,2000-04-08,wk74,NA
3 Doors Down,Kryptonite,2000-04-08,wk75,NA
3 Doors Down,Kryptonite,2000-04-08,wk76,NA
3 Doors Down,Loser,2000-10-21,wk1,76
3 Doors Down,Loser,2000-10-21,wk2,76
3 Doors Down,Loser,2000-10-21,wk3,72
3 Doors Down,Loser,2000-10-21,wk4,69
3 Doors Down,Loser,2000-10-21,wk5,67
3 Doors Down,Loser,2000-10-21,wk6,65
3 Doors Down,Loser,2000-10-21,wk7,55
3 Doors Down,Loser,2000-10-21,wk8,59
3 Doors Down,Loser,2000-10-21,wk9,62
3 Doors Down,Loser,2000-10-21,wk10,61
3 Doors Down,Loser,2000-10-21,wk11,61
3 Doors Down,Loser,2000-10-21,wk12,59
3 Doors Down,Loser,2000-10-21,wk13,61
3 Doors Down,Loser,2000-10-21,wk14,66
3 Doors Down,Loser,2000-10-21,wk15,72
3 Doors Down,Loser,2000-10-21,wk16,76
3 Doors Down,Loser,2000-10-21,wk17,75
3 Doors Down,Loser,2000-10-21,wk18,67
3 Doors Down,Loser,2000-10-21,wk19,73
3 Doors Down,Loser,2000-10-21,wk20,70
3 Doors Down,Loser,2000-10-21,wk21,NA
3 Doors Down,Loser,2000-10-21,wk22,NA
3 Doors Down,Loser,2000-10-21,wk23,NA
3 Doors Down,Loser,2000-10-21,wk24,NA
3 Doors Down,Loser,2000-10-21,wk25,NA
3 Doors Down,Loser,2000-10-21,wk26,NA
3 Doors Down,Loser,2000-10-21,wk27,NA
3 Doors Down,Loser,2000-10-21,wk28,NA
3 Doors Down,Loser,2000-10-21,wk29,NA
3 Doors Down,Loser,2000-10-21,wk30,NA
3 Doors Down,Loser,2000-10-21,wk31,NA
3 Doors Down,Loser,2000-10-21,wk32,NA
3 Doors Down,Loser,2000-10-21,wk33,NA
3 Doors Down,Loser,2000-10-21,wk34,NA
3 Doors Down,Loser,2000-10-21,wk35,NA
3 Doors Down,Loser,2000-10-21,wk36,NA
3 Doors Down,Loser,2000-10-21,wk37,NA
3 Doors Down,Loser,2000-10-21,wk38,NA
3 Doors Down,Loser,2000-10-21,wk39,NA
3 Doors Down,Loser,2000-10-21,wk40,NA
3 Doors Down,Loser,2000-10-21,wk41,NA
3 Doors Down,Loser,2000-10-21,wk42,NA
3 Doors Down,Loser,2000-10-21,wk43,NA
3 Doors Down,Loser,2000-10-21,wk44,NA
3 Doors Down,Loser,2000-10-21,wk45,NA
3 Doors Down,Loser,2000-10-21,wk46,NA
3 Doors Down,Loser,2000-10-21,wk47,NA
3 Doors Down,Loser,2000-10-21,wk48,NA
3 Doors Down,Loser,2000-10-21,wk49,NA
3 Doors Down,Loser,2000-10-21,wk50,NA
3 Doors Down,Loser,2000-10-21,wk51,NA
3 Doors Down,Loser,2000-10-21,wk52,NA
3 Doors Down,Loser,2000-10-21,wk53,NA
3 Doors Down,Loser,2000-10-21,wk54,NA
3 Doors Down,Loser,2000-10-21,wk55,NA
3 Doors Down,Loser,2000-10-21,wk56,NA
3 Doors Down,Loser,2000-10-21,wk57,NA
3 Doors Down,Loser,2000-10-21,wk58,NA
3 Doors Down,Loser,2000-10-21,wk59,NA
3 Doors Down,Loser,2000-10-21,wk60,NA
3 Doors Down,Loser,2000-10-21,wk61,NA
3 Doors Down,Loser,2000-10-21,wk62,NA
3 Doors Down,Loser,2000-10-21,wk63,NA
3 Doors Down,Loser,2000-10-21,wk64,NA
3 Doors Down,Loser,2000-10-21,wk65,NA
3 Doors Down,Loser,2000-10-21,wk66,NA
3 Doors Down,Loser,2000-10-21,wk67,NA
3 Doors Down,Loser,2000-10-21,wk68,NA
3 Doors Down,Loser,2000-10-21,wk69,NA
3 Doors Down,Loser,2000-10-21,wk70,NA
3 Doors Down,Loser,2000-10-21,wk71,NA
3 Doors Down,Loser,2000-10-21,wk72,NA
3 Doors Down,Loser,2000-10-21,wk73,NA
3 Doors Down,Loser,2000-10-21,wk74,NA
3 Doors Down,Loser,2000-10-21,wk75,NA
3 Doors Down,Loser,2000-10-21,wk76,NA
504 Boyz,Wobble Wobble,2000-04-15,wk1,57
504 Boyz,Wobble Wobble,2000-04-15,wk2,34
504 Boyz,Wobble Wobble,2000-04-15,wk3,25
504 Boyz,Wobble Wobble,2000-04-15,wk4,17
504 Boyz,Wobble Wobble,2000-04-15,wk5,17
504 Boyz,Wobble Wobble,2000-04-15,wk6,31
504 Boyz,Wobble Wobble,2000-04-15,wk7,36
504 Boyz,Wobble Wobble,2000-04-15,wk8,49
504 Boyz,Wobble Wobble,2000-04-15,wk9,53
504 Boyz,Wobble Wobble,2000-04-15,wk10,57
504 Boyz,Wobble Wobble,2000-04-15,wk11,64
504 Boyz,Wobble Wobble,2000-04-15,wk12,70
504 Boyz,Wobble Wobble,2000-04-15,wk13,75
504 Boyz,Wobble Wobble,2000-04-15,wk14,76
504 Boyz,Wobble Wobble,2000-04-15,wk15,78
504 Boyz,Wobble Wobble,2000-04-15,wk16,85
504 Boyz,Wobble Wobble,2000-04-15,wk17,92
504 Boyz,Wobble Wobble,2000-04-15,wk18,96
504 Boyz,Wobble Wobble,2000-04-15,wk19,NA
504 Boyz,Wobble Wobble,2000-04-15,wk20,NA
504 Boyz,Wobble Wobble,2000-04-15,wk21,NA
504 Boyz,Wobble Wobble,2000-04-15,wk22,NA
504 Boyz,Wobble Wobble,2000-04-15,wk23,NA
504 Boyz,Wobble Wobble,2000-04-15,wk24,NA
504 Boyz,Wobble Wobble,2000-04-15,wk25,NA
504 Boyz,Wobble Wobble,2000-04-15,wk26,NA
504 Boyz,Wobble Wobble,2000-04-15,wk27,NA
504 Boyz,Wobble Wobble,2000-04-15,wk28,NA
504 Boyz,Wobble Wobble,2000-04-15,wk29,NA
504 Boyz,Wobble Wobble,2000-04-15,wk30,NA
504 Boyz,Wobble Wobble,2000-04-15,wk31,NA
504 Boyz,Wobble Wobble,2000-04-15,wk32,NA
504 Boyz,Wobble Wobble,2000-04-15,wk33,NA
504 Boyz,Wobble Wobble,2000-04-15,wk34,NA
504 Boyz,Wobble Wobble,2000-04-15,wk35,NA
504 Boyz,Wobble Wobble,2000-04-15,wk36,NA
504 Boyz,Wobble Wobble,2000-04-15,wk37,NA
504 Boyz,Wobble Wobble,2000-04-15,wk38,NA
504 Boyz,Wobble Wobble,2000-04-15,wk39,NA
504 Boyz,Wobble Wobble,2000-04-15,wk40,NA
504 Boyz,Wobble Wobble,2000-04-15,wk41,NA
504 Boyz,Wobble Wobble,2000-04-15,wk42,NA
504 Boyz,Wobble Wobble,2000-04-15,wk43,NA
504 Boyz,Wobble Wobble,2000-04-15,wk44,NA
504 Boyz,Wobble Wobble,2000-04-15,wk45,NA
504 Boyz,Wobble Wobble,2000-04-15,wk46,NA
504 Boyz,Wobble Wobble,2000-04-15,wk47,NA
504 Boyz,Wobble Wobble,2000-04-15,wk48,NA
504 Boyz,Wobble Wobble,2000-04-15,wk49,NA
504 Boyz,Wobble Wobble,2000-04-15,wk50,NA
504 Boyz,Wobble Wobble,2000-04-15,wk51,NA
504 Boyz,Wobble Wobble,2000-04-15,wk52,NA
504 Boyz,Wobble Wobble,2000-04-15,wk53,NA
504 Boyz,Wobble Wobble,2000-04-15,wk54,NA
504 Boyz,Wobble Wobble,2000-04-15,wk55,NA
504 Boyz,Wobble Wobble,2000-04-15,wk56,NA
504 Boyz,Wobble Wobble,2000-04-15,wk57,NA
504 Boyz,Wobble Wobble,2000-04-15,wk58,NA
504 Boyz,Wobble Wobble,2000-04-15,wk59,NA
504 Boyz,Wobble Wobble,2000-04-15,wk60,NA
504 Boyz,Wobble Wobble,2000-04-15,wk61,NA
504 Boyz,Wobble Wobble,2000-04-15,wk62,NA
504 Boyz,Wobble Wobble,2000-04-15,wk63,NA
504 Boyz,Wobble Wobble,2000-04-15,wk64,NA
504 Boyz,Wobble Wobble,2000-04-15,wk65,NA
504 Boyz,Wobble Wobble,2000-04-15,wk66,NA
504 Boyz,Wobble Wobble,2000-04-15,wk67,NA
504 Boyz,Wobble Wobble,2000-04-15,wk68,NA
504 Boyz,Wobble Wobble,2000-04-15,wk69,NA
504 Boyz,Wobble Wobble,2000-04-15,wk70,NA
504 Boyz,Wobble Wobble,2000-04-15,wk71,NA
504 Boyz,Wobble Wobble,2000-04-15,wk72,NA
504 Boyz,Wobble Wobble,2000-04-15,wk73,NA
504 Boyz,Wobble Wobble,2000-04-15,wk74,NA
504 Boyz,Wobble Wobble,2000-04-15,wk75,NA
504 Boyz,Wobble Wobble,2000-04-15,wk76,NA
98^0,Give Me Just One Nig...,2000-08-19,wk1,51
98^0,Give Me Just One Nig...,2000-08-19,wk2,39
98^0,Give Me Just One Nig...,2000-08-19,wk3,34
98^0,Give Me Just One Nig...,2000-08-19,wk4,26
98^0,Give Me Just One Nig...,2000-08-19,wk5,26
98^0,Give Me Just One Nig...,2000-08-19,wk6,19
98^0,Give Me Just One Nig...,2000-08-19,wk7,2
98^0,Give Me Just One Nig...,2000-08-19,wk8,2
98^0,Give Me Just One Nig...,2000-08-19,wk9,3
98^0,Give Me Just One Nig...,2000-08-19,wk10,6
98^0,Give Me Just One Nig...,2000-08-19,wk11,7
98^0,Give Me Just One Nig...,2000-08-19,wk12,22
98^0,Give Me Just One Nig...,2000-08-19,wk13,29
98^0,Give Me Just One Nig...,2000-08-19,wk14,36
98^0,Give Me Just One Nig...,2000-08-19,wk15,47
98^0,Give Me Just One Nig...,2000-08-19,wk16,67
98^0,Give Me Just One Nig...,2000-08-19,wk17,66
98^0,Give Me Just One Nig...,2000-08-19,wk18,84
98^0,Give Me Just One Nig...,2000-08-19,wk19,93
98^0,Give Me Just One Nig...,2000-08-19,wk20,94
98^0,Give Me Just One Nig...,2000-08-19,wk21,NA
98^0,Give Me Just One Nig...,2000-08-19,wk22,NA
98^0,Give Me Just One Nig...,2000-08-19,wk23,NA
98^0,Give Me Just One Nig...,2000-08-19,wk24,NA
98^0,Give Me Just One Nig...,2000-08-19,wk25,NA
98^0,Give Me Just One Nig...,2000-08-19,wk26,NA
98^0,Give Me Just One Nig...,2000-08-19,wk27,NA
98^0,Give Me Just One Nig...,2000-08-19,wk28,NA
98^0,Give Me Just One Nig...,2000-08-19,wk29,NA
98^0,Give Me Just One Nig...,2000-08-19,wk30,NA
98^0,Give Me Just One Nig...,2000-08-19,wk31,NA
98^0,Give Me Just One Nig...,2000-08-19,wk32,NA
98^0,Give Me Just One Nig...,2000-08-19,wk33,NA
98^0,Give Me Just One Nig...,2000-08-19,wk34,NA
98^0,Give Me Just One Nig...,2000-08-19,wk35,NA
98^0,Give Me Just One Nig...,2000-08-19,wk36,NA
98^0,Give Me Just One Nig...,2000-08-19,wk37,NA
98^0,Give Me Just One Nig...,2000-08-19,wk38,NA
98^0,Give Me Just One Nig...,2000-08-19,wk39,NA
98^0,Give Me Just One Nig...,2000-08-19,wk40,NA
98^0,Give Me Just One Nig...,2000-08-19,wk41,NA
98^0,Give Me Just One Nig...,2000-08-19,wk42,NA
98^0,Give Me Just One Nig...,2000-08-19,wk43,NA
98^0,Give Me Just One Nig...,2000-08-19,wk44,NA
98^0,Give Me Just One Nig...,2000-08-19,wk45,NA
98^0,Give Me Just One Nig...,2000-08-19,wk46,NA
98^0,Give Me Just One Nig...,2000-08-19,wk47,NA
98^0,Give Me Just One Nig...,2000-08-19,wk48,NA
98^0,Give Me Just One Nig...,2000-08-19,wk49,NA
98^0,Give Me Just One Nig...,2000-08-19,wk50,NA
98^0,Give Me Just One Nig...,2000-08-19,wk51,NA
98^0,Give Me Just One Nig...,2000-08-19,wk52,NA
98^0,Give Me Just One Nig...,2000-08-19,wk53,NA
98^0,Give Me Just One Nig...,2000-08-19,wk54,NA
98^0,Give Me Just One Nig...,2000-08-19,wk55,NA
98^0,Give Me Just One Nig...,2000-08-19,wk56,NA
98^0,Give Me Just One Nig...,2000-08-19,wk57,NA
98^0,Give Me Just One Nig...,2000-08-19,wk58,NA
98^0,Give Me Just One Nig...,2000-08-19,wk59,NA
98^0,Give Me Just One Nig...,2000-08-19,wk60,NA
98^0,Give Me Just One Nig...,2000-08-19,wk61,NA
98^0,Give Me Just One Nig...,2000-08-19,wk62,NA
98^0,Give Me Just One Nig...,2000-08-19,wk63,NA
98^0,Give Me Just One Nig...,2000-08-19,wk64,NA
98^0,Give Me Just One Nig...,2000-08-19,wk65,NA
98^0,Give Me Just One Nig...,2000-08-19,wk66,NA
98^0,Give Me Just One Nig...,2000-08-19,wk67,NA
98^0,Give Me Just One Nig...,2000-08-19,wk68,NA
98^0,Give Me Just One Nig...,2000-08-19,wk69,NA
98^0,Give Me Just One Nig...,2000-08-19,wk70,NA
98^0,Give Me Just One Nig...,2000-08-19,wk71,NA
98^0,Give Me Just One Nig...,2000-08-19,wk72,NA
98^0,Give Me Just One Nig...,2000-08-19,wk73,NA
98^0,Give Me Just One Nig...,2000-08-19,wk74,NA
98^0,Give Me Just One Nig...,2000-08-19,wk75,NA
98^0,Give Me Just One Nig...,2000-08-19,wk76,NA
A*Teens,Dancing Queen,2000-07-08,wk1,97
A*Teens,Dancing Queen,2000-07-08,wk2,97
A*Teens,Dancing Queen,2000-07-08,wk3,96
A*Teens,Dancing Queen,2000-07-08,wk4,95
A*Teens,Dancing Queen,2000-07-08,wk5,100
A*Teens,Dancing Queen,2000-07-08,wk6,NA
