zip,sex,age,obese,n,pop
53095,female,05-17,134,1043,2072
53097,female,05-17,NA,NA,611
53098,female,05-17,NA,NA,1121
53103,female,05-17,NA,NA,283
53104,female,05-17,NA,NA,412
53105,female,05-17,NA,NA,2518
53108,female,05-17,NA,NA,210
53110,female,05-17,NA,NA,1388
53114,female,05-17,NA,NA,259
53115,female,05-17,NA,NA,1215
53118,female,05-17,NA,NA,471
53119,female,05-17,NA,NA,573
53120,female,05-17,NA,NA,830
53121,female,05-17,NA,NA,1996
53122,female,05-17,NA,NA,642
53125,female,05-17,NA,NA,54
53126,female,05-17,NA,NA,558
53128,female,05-17,NA,NA,660
53129,female,05-17,NA,NA,1183
53130,female,05-17,12,50,469
53132,female,05-17,NA,NA,2742
53137,female,05-17,NA,NA,90
53139,female,05-17,NA,NA,220
53140,female,05-17,NA,NA,2524
53142,female,05-17,NA,NA,3114
53143,female,05-17,NA,NA,2336
53144,female,05-17,NA,NA,2263
53146,female,05-17,NA,NA,573
53147,female,05-17,NA,NA,1667
53149,female,05-17,NA,NA,1863
53150,female,05-17,NA,NA,2131
53151,female,05-17,NA,NA,2201
53153,female,05-17,NA,NA,198
53154,female,05-17,NA,NA,3151
53156,female,05-17,NA,NA,290
53158,female,05-17,NA,NA,1452
53167,female,05-17,NA,NA,0
53168,female,05-17,NA,NA,718
53170,female,05-17,NA,NA,226
53172,female,05-17,NA,NA,1736
53177,female,05-17,NA,NA,485
53178,female,05-17,NA,NA,171
53179,female,05-17,NA,NA,657
53181,female,05-17,NA,NA,692
53182,female,05-17,NA,NA,880
53183,female,05-17,NA,NA,253
53184,female,05-17,NA,NA,341
53185,female,05-17,NA,NA,1644
53186,female,05-17,NA,NA,2405
53188,female,05-17,NA,NA,2606
53189,female,05-17,NA,NA,2315
53190,female,05-17,55,241,975
53191,female,05-17,NA,NA,201
53192,female,05-17,NA,NA,0
53195,female,05-17,NA,NA,5
53202,female,05-17,NA,NA,288
53203,female,05-17,NA,NA,17
53204,female,05-17,NA,NA,4777
53205,female,05-17,NA,NA,1299
53206,female,05-17,NA,NA,3213
53207,female,05-17,NA,NA,2603
53208,female,05-17,NA,NA,3115
53209,female,05-17,NA,NA,4983
53210,female,05-17,NA,NA,3100
53211,female,05-17,16,248,1714
53212,female,05-17,NA,NA,2663
53213,female,05-17,25,243,1981
53214,female,05-17,58,286,2442
53215,female,05-17,NA,NA,6857
53216,female,05-17,NA,NA,3398
53217,female,05-17,NA,NA,2586
53218,female,05-17,NA,NA,4849
53219,female,05-17,NA,NA,2200
53220,female,05-17,NA,NA,1607
53221,female,05-17,NA,NA,3455
53222,female,05-17,NA,NA,2114
53223,female,05-17,50,233,2168
53224,female,05-17,NA,NA,2369
53225,female,05-17,NA,NA,2470
53226,female,05-17,16,151,1169
53227,female,05-17,NA,NA,1610
53228,female,05-17,NA,NA,967
53233,female,05-17,NA,NA,327
53235,female,05-17,NA,NA,355
53295,female,05-17,NA,NA,0
53402,female,05-17,NA,NA,2894
53403,female,05-17,NA,NA,2431
53404,female,05-17,NA,NA,1789
53405,female,05-17,NA,NA,2206
53406,female,05-17,NA,NA,2149
53501,female,05-17,NA,NA,0
53502,female,05-17,31,166,236
53503,female,05-17,11,51,173
53504,female,05-17,20,112,182
53505,female,05-17,NA,NA,42
53506,female,05-17,NA,NA,68
53507,female,05-17,13,125,200
53508,female,05-17,66,369,500
53510,female,05-17,NA,NA,153
53511,female,05-17,NA,NA,4766
53515,female,05-17,14,83,156
53516,female,05-17,19,118,228
53517,female,05-17,15,128,164
53518,female,05-17,NA,NA,91
53520,female,05-17,72,385,460
53521,female,05-17,32,249,380
53522,female,05-17,17,71,77
53523,female,05-17,20,170,271
53525,female,05-17,11,38,371
53526,female,05-17,NA,NA,51
53527,female,05-17,92,738,1185
53528,female,05-17,32,403,510
53529,female,05-17,NA,NA,143
53530,female,05-17,24,106,421
53531,female,05-17,39,259,369
53532,female,05-17,96,966,1519
53533,female,05-17,39,242,649
53534,female,05-17,86,442,843
53536,female,05-17,71,517,821
53537,female,05-17,NA,NA,23
53538,female,05-17,81,414,1395
53540,female,05-17,NA,NA,16
53541,female,05-17,10,45,52
53543,female,05-17,NA,NA,168
53544,female,05-17,NA,NA,31
53545,female,05-17,94,542,1816
53546,female,05-17,130,709,2845
53548,female,05-17,99,437,1405
53549,female,05-17,23,153,769
53550,female,05-17,18,90,103
53551,female,05-17,34,192,987
53553,female,05-17,NA,NA,26
53554,female,05-17,NA,NA,149
53555,female,05-17,39,260,866
53556,female,05-17,NA,NA,162
53557,female,05-17,NA,NA,34
53558,female,05-17,65,741,965
53559,female,05-17,43,330,605
53560,female,05-17,18,130,324
53561,female,05-17,NA,NA,62
53562,female,05-17,149,1739,2211
53563,female,05-17,55,286,866
53565,female,05-17,NA,NA,523
53566,female,05-17,228,1175,1274
53569,female,05-17,NA,NA,90
53570,female,05-17,35,184,260
53571,female,05-17,NA,NA,20
53572,female,05-17,87,702,1005
53573,female,05-17,19,69,255
53574,female,05-17,29,293,384
53575,female,05-17,107,1094,1761
53576,female,05-17,15,69,228
53577,female,05-17,NA,NA,102
53578,female,05-17,15,137,521
53579,female,05-17,NA,NA,150
53580,female,05-17,NA,NA,53
53581,female,05-17,21,125,821
53582,female,05-17,10,40,86
53583,female,05-17,20,128,440
53585,female,05-17,NA,NA,186
53586,female,05-17,15,57,155
53587,female,05-17,NA,NA,104
53588,female,05-17,NA,NA,326
53589,female,05-17,168,1358,1381
53590,female,05-17,358,2774,4033
53593,female,05-17,103,1677,1971
53594,female,05-17,29,151,485
53597,female,05-17,116,1500,1831
53598,female,05-17,29,203,223
53599,female,05-17,NA,NA,0
53702,female,05-17,NA,NA,0
53703,female,05-17,14,188,260
53704,female,05-17,366,2018,2891
53705,female,05-17,57,855,1355
53706,female,05-17,NA,NA,16
53711,female,05-17,327,2641,3451
53713,female,05-17,290,1391,2115
53714,female,05-17,146,728,1293
53715,female,05-17,22,168,264
53716,female,05-17,120,854,956
53717,female,05-17,45,510,720
53718,female,05-17,69,589,594
53719,female,05-17,203,1611,2192
53726,female,05-17,NA,NA,359
53792,female,05-17,NA,NA,0
53801,female,05-17,NA,NA,63
53802,female,05-17,NA,NA,0
53803,female,05-17,NA,NA,132
53804,female,05-17,NA,NA,112
53805,female,05-17,48,242,370
53806,female,05-17,NA,NA,113
53807,female,05-17,NA,NA,411
53808,female,05-17,NA,NA,81
53809,female,05-17,21,85,324
53810,female,05-17,NA,NA,38
53811,female,05-17,NA,NA,235
53813,female,05-17,14,54,482
53816,female,05-17,NA,NA,104
53817,female,05-17,NA,NA,4
53818,female,05-17,NA,NA,988
53820,female,05-17,NA,NA,204
53821,female,05-17,25,156,660
53825,female,05-17,NA,NA,81
53826,female,05-17,12,50,158
53827,female,05-17,NA,NA,14
53901,female,05-17,99,446,1015
53910,female,05-17,21,81,263
53911,female,05-17,10,78,97
53913,female,05-17,122,706,1635
53916,female,05-17,129,757,1963
53919,female,05-17,NA,NA,209
53920,female,05-17,NA,NA,29
53922,female,05-17,NA,NA,62
53923,female,05-17,13,79,266
53924,female,05-17,NA,NA,102
53925,female,05-17,56,403,779
53926,female,05-17,NA,NA,213
53928,female,05-17,NA,NA,18
53929,female,05-17,12,60,201
53930,female,05-17,NA,NA,109
53931,female,05-17,NA,NA,20
53932,female,05-17,25,144,254
53933,female,05-17,10,37,163
53934,female,05-17,22,81,235
53935,female,05-17,NA,NA,23
53936,female,05-17,NA,NA,95
53937,female,05-17,NA,NA,66
53939,female,05-17,NA,NA,23
53941,female,05-17,12,32,242
53943,female,05-17,NA,NA,81
53944,female,05-17,NA,NA,163
53946,female,05-17,NA,NA,398
53947,female,05-17,NA,NA,6
53948,female,05-17,18,99,588
53949,female,05-17,18,81,338
53950,female,05-17,10,59,313
53951,female,05-17,NA,NA,208
53952,female,05-17,NA,NA,212
53953,female,05-17,NA,NA,24
53954,female,05-17,48,222,597
53955,female,05-17,42,272,428
53956,female,05-17,10,91,257
53959,female,05-17,38,195,1206
53960,female,05-17,20,127,272
53961,female,05-17,NA,NA,80
53963,female,05-17,NA,NA,1029
53964,female,05-17,16,61,351
53965,female,05-17,59,292,704
53968,female,05-17,11,32,187
53969,female,05-17,NA,NA,13
54001,female,05-17,NA,NA,556
54002,female,05-17,NA,NA,544
54003,female,05-17,NA,NA,85
54004,female,05-17,NA,NA,256
54005,female,05-17,NA,NA,238
54006,female,05-17,NA,NA,99
54007,female,05-17,NA,NA,94
54009,female,05-17,NA,NA,217
54010,female,05-17,NA,NA,0
54011,female,05-17,NA,NA,529
54013,female,05-17,NA,NA,321
54014,female,05-17,NA,NA,170
54015,female,05-17,NA,NA,393
54016,female,05-17,NA,NA,2947
54017,female,05-17,NA,NA,1774
54020,female,05-17,NA,NA,763
54021,female,05-17,NA,NA,560
54022,female,05-17,NA,NA,1585
54023,female,05-17,NA,NA,447
54024,female,05-17,NA,NA,364
54025,female,05-17,NA,NA,854
54026,female,05-17,NA,NA,139
54027,female,05-17,NA,NA,90
54028,female,05-17,NA,NA,250
54082,female,05-17,NA,NA,120
54101,female,05-17,12,124,273
54102,female,05-17,NA,NA,50
54103,female,05-17,NA,NA,27
54104,female,05-17,NA,NA,41
54106,female,05-17,25,177,426
54107,female,05-17,NA,NA,367
54110,female,05-17,14,114,471
54111,female,05-17,NA,NA,98
54112,female,05-17,10,74,181
54113,female,05-17,18,196,439
54114,female,05-17,12,55,334
54115,female,05-17,171,1505,3909
54119,female,05-17,NA,NA,54
54120,female,05-17,NA,NA,2
54121,female,05-17,NA,NA,190
54123,female,05-17,NA,NA,29
54124,female,05-17,35,142,242
54125,female,05-17,NA,NA,14
54126,female,05-17,14,112,367
54127,female,05-17,NA,NA,0
54128,female,05-17,NA,NA,99
54129,female,05-17,13,86,179
54130,female,05-17,120,952,2104
54135,female,05-17,NA,NA,360
54136,female,05-17,27,268,553
54137,female,05-17,11,57,78
54138,female,05-17,NA,NA,14
54139,female,05-17,39,159,263
54140,female,05-17,44,315,836
54141,female,05-17,18,95,276
54143,female,05-17,NA,NA,1052
54149,female,05-17,NA,NA,45
54150,female,05-17,NA,NA,141
54151,female,05-17,NA,NA,324
54153,female,05-17,38,244,538
54154,female,05-17,66,301,355
54155,female,05-17,29,213,953
54156,female,05-17,NA,NA,95
54157,female,05-17,NA,NA,505
54159,female,05-17,NA,NA,74
54160,female,05-17,NA,NA,21
54161,female,05-17,17,87,232
54162,female,05-17,54,476,759
54165,female,05-17,41,300,660
54166,female,05-17,NA,NA,1351
54169,female,05-17,NA,NA,220
54170,female,05-17,18,155,274
54171,female,05-17,27,173,365
54173,female,05-17,22,198,497
54174,female,05-17,30,126,194
54175,female,05-17,NA,NA,43
54177,female,05-17,NA,NA,178
54180,female,05-17,NA,NA,330
54201,female,05-17,10,71,417
54202,female,05-17,NA,NA,78
54204,female,05-17,NA,NA,125
54205,female,05-17,14,77,214
54207,female,05-17,NA,NA,15
54208,female,05-17,28,149,566
54209,female,05-17,NA,NA,40
54210,female,05-17,NA,NA,32
54211,female,05-17,NA,NA,12
54212,female,05-17,NA,NA,60
54213,female,05-17,NA,NA,125
54214,female,05-17,NA,NA,10
54216,female,05-17,26,158,368
54217,female,05-17,52,331,709
54220,female,05-17,NA,NA,3017
54227,female,05-17,NA,NA,114
54228,female,05-17,NA,NA,238
54229,female,05-17,17,177,422
54230,female,05-17,NA,NA,439
54232,female,05-17,NA,NA,33
54234,female,05-17,NA,NA,37
54235,female,05-17,20,122,1082
54241,female,05-17,NA,NA,1156
54245,female,05-17,NA,NA,241
54246,female,05-17,NA,NA,66
54247,female,05-17,NA,NA,178
54301,female,05-17,108,752,1835
54302,female,05-17,233,1004,2875
54303,female,05-17,189,883,2126
54304,female,05-17,157,783,1952
54307,female,05-17,NA,NA,0
54311,female,05-17,128,1048,2580
54313,female,05-17,172,1714,3811
54401,female,05-17,313,2013,2545
54403,female,05-17,236,1614,2140
54405,female,05-17,31,197,201
54406,female,05-17,10,65,326
54407,female,05-17,NA,NA,126
54408,female,05-17,10,69,91
54409,female,05-17,160,790,944
54410,female,05-17,25,144,270
54411,female,05-17,57,259,580
54412,female,05-17,22,115,149
54413,female,05-17,NA,NA,9
54414,female,05-17,27,206,272
54416,female,05-17,NA,NA,166
54417,female,05-17,NA,NA,0
54418,female,05-17,13,60,84
54420,female,05-17,NA,NA,131
54421,female,05-17,42,196,347
54422,female,05-17,12,50,154
54423,female,05-17,NA,NA,176
54424,female,05-17,12,66,137
54425,female,05-17,25,104,229
54426,female,05-17,56,300,426
54427,female,05-17,NA,NA,56
54428,female,05-17,NA,NA,40
54430,female,05-17,NA,NA,13
54433,female,05-17,12,71,113
54435,female,05-17,12,70,123
54436,female,05-17,NA,NA,319
54437,female,05-17,18,92,375
54440,female,05-17,23,150,232
54441,female,05-17,NA,NA,76
54442,female,05-17,10,41,112
54443,female,05-17,18,102,208
54446,female,05-17,23,118,368
54447,female,05-17,NA,NA,28
54448,female,05-17,42,319,346
54449,female,05-17,210,1338,1952
54450,female,05-17,NA,NA,25
54451,female,05-17,128,769,1008
54452,female,05-17,202,1099,1515
54454,female,05-17,NA,NA,132
54455,female,05-17,185,1244,1520
54456,female,05-17,11,82,482
54457,female,05-17,86,392,498
54458,female,05-17,NA,NA,11
54459,female,05-17,NA,NA,107
54460,female,05-17,18,84,249
54462,female,05-17,NA,NA,4
54463,female,05-17,NA,NA,26
54465,female,05-17,NA,NA,42
54466,female,05-17,22,156,239
54467,female,05-17,35,282,1069
54469,female,05-17,24,117,161
54470,female,05-17,22,112,214
54471,female,05-17,11,151,200
54473,female,05-17,12,64,192
54474,female,05-17,42,295,197
54475,female,05-17,13,83,108
54476,female,05-17,239,1393,1553
54479,female,05-17,45,226,438
54480,female,05-17,14,72,118
54481,female,05-17,60,410,1635
54482,female,05-17,24,198,796
54484,female,05-17,49,341,506
54485,female,05-17,NA,NA,11
54486,female,05-17,10,34,192
54487,female,05-17,16,149,656
54488,female,05-17,NA,NA,92
54489,female,05-17,18,100,151
54490,female,05-17,10,53,58
54491,female,05-17,NA,NA,82
54493,female,05-17,NA,NA,28
54494,female,05-17,303,1680,2194
54495,female,05-17,117,556,648
54498,female,05-17,15,62,303
54499,female,05-17,42,169,310
54501,female,05-17,93,474,1468
54511,female,05-17,NA,NA,78
54512,female,05-17,NA,NA,23
54513,female,05-17,NA,NA,33
54514,female,05-17,NA,NA,113
54515,female,05-17,NA,NA,42
54517,female,05-17,NA,NA,0
54519,female,05-17,NA,NA,52
54520,female,05-17,NA,NA,290
54521,female,05-17,16,119,560
54524,female,05-17,NA,NA,34
54525,female,05-17,NA,NA,15
54526,female,05-17,NA,NA,97
54527,female,05-17,NA,NA,63
54529,female,05-17,NA,NA,54
54530,female,05-17,NA,NA,38
54531,female,05-17,NA,NA,94
54534,female,05-17,31,132,136
54536,female,05-17,NA,NA,20
54537,female,05-17,NA,NA,58
54538,female,05-17,26,68,300
54539,female,05-17,NA,NA,24
54540,female,05-17,NA,NA,66
54541,female,05-17,NA,NA,124
54542,female,05-17,NA,NA,10
54545,female,05-17,NA,NA,30
54546,female,05-17,NA,NA,143
54547,female,05-17,12,55,48
54548,female,05-17,17,144,155
54550,female,05-17,10,48,80
54552,female,05-17,20,113,216
54554,female,05-17,NA,NA,80
54555,female,05-17,37,182,310
54556,female,05-17,14,87,109
54557,female,05-17,NA,NA,51
54558,female,05-17,NA,NA,148
54559,female,05-17,NA,NA,92
54560,female,05-17,NA,NA,18
54561,female,05-17,NA,NA,0
54562,female,05-17,NA,NA,71
54563,female,05-17,NA,NA,68
54564,female,05-17,NA,NA,7
54565,female,05-17,NA,NA,8
54566,female,05-17,NA,NA,145
54568,female,05-17,21,176,315
54601,female,05-17,185,1326,2590
54603,female,05-17,75,418,868
54610,female,05-17,NA,NA,59
54611,female,05-17,NA,NA,84
54612,female,05-17,34,175,443
54613,female,05-17,NA,NA,85
54614,female,05-17,12,87,259
54615,female,05-17,24,105,875
54616,female,05-17,23,113,252
54618,female,05-17,NA,NA,171
54619,female,05-17,10,104,482
54621,female,05-17,NA,NA,133
54622,female,05-17,NA,NA,164
54623,female,05-17,NA,NA,193
54624,female,05-17,NA,NA,100
54625,female,05-17,NA,NA,22
54626,female,05-17,NA,NA,101
54627,female,05-17,NA,NA,128
54628,female,05-17,NA,NA,59
54629,female,05-17,NA,NA,208
54630,female,05-17,23,156,302
54631,female,05-17,11,35,106
54632,female,05-17,NA,NA,106
54634,female,05-17,30,121,430
54635,female,05-17,NA,NA,121
54636,female,05-17,83,704,1473
54637,female,05-17,NA,NA,10
54638,female,05-17,NA,NA,137
54639,female,05-17,NA,NA,237
54641,female,05-17,NA,NA,0
54642,female,05-17,13,65,179
54643,female,05-17,NA,NA,1
54644,female,05-17,NA,NA,206
54645,female,05-17,NA,NA,9
54646,female,05-17,NA,NA,412
54648,female,05-17,10,37,215
54650,female,05-17,116,988,2153
54651,female,05-17,NA,NA,129
54652,female,05-17,NA,NA,99
54653,female,05-17,NA,NA,122
54654,female,05-17,NA,NA,0
54655,female,05-17,NA,NA,153
54656,female,05-17,100,507,1496
54657,female,05-17,NA,NA,36
54658,female,05-17,17,83,167
54659,female,05-17,NA,NA,144
54660,female,05-17,87,421,1413
54661,female,05-17,13,141,345
54664,female,05-17,NA,NA,248
54665,female,05-17,25,212,627
54666,female,05-17,NA,NA,186
54667,female,05-17,18,151,379
54669,female,05-17,45,353,647
54670,female,05-17,NA,NA,292
54701,female,05-17,93,667,2947
54703,female,05-17,123,837,2818
54720,female,05-17,22,159,388
54721,female,05-17,NA,NA,88
54722,female,05-17,33,154,373
54723,female,05-17,NA,NA,74
54724,female,05-17,27,171,688
54725,female,05-17,NA,NA,195
54726,female,05-17,NA,NA,181
54727,female,05-17,37,173,436
54728,female,05-17,24,129,400
54729,female,05-17,148,997,2624
54730,female,05-17,10,61,383
54731,female,05-17,NA,NA,98
54732,female,05-17,23,118,216
54733,female,05-17,NA,NA,86
54734,female,05-17,NA,NA,72
54736,female,05-17,NA,NA,292
54737,female,05-17,NA,NA,39
54738,female,05-17,NA,NA,328
54739,female,05-17,13,110,415
54740,female,05-17,NA,NA,136
54741,female,05-17,NA,NA,159
54742,female,05-17,11,103,403
54745,female,05-17,10,52,161
54746,female,05-17,NA,NA,97
54747,female,05-17,22,101,267
54748,female,05-17,NA,NA,130
54749,female,05-17,NA,NA,92
54750,female,05-17,NA,NA,65
54751,female,05-17,NA,NA,1796
54754,female,05-17,NA,NA,116
54755,female,05-17,21,70,672
54756,female,05-17,NA,NA,63
54757,female,05-17,12,53,292
54758,female,05-17,15,66,436
54759,female,05-17,NA,NA,117
54760,female,05-17,NA,NA,20
54761,female,05-17,NA,NA,94
54762,female,05-17,NA,NA,141
54763,female,05-17,NA,NA,135
54765,female,05-17,NA,NA,0
54766,female,05-17,20,66,125
54767,female,05-17,NA,NA,303
54768,female,05-17,17,129,434
54769,female,05-17,NA,NA,24
54770,female,05-17,16,44,175
54771,female,05-17,14,104,437
54772,female,05-17,NA,NA,64
54773,female,05-17,26,105,330
54801,female,05-17,14,63,440
54805,female,05-17,NA,NA,121
54806,female,05-17,NA,NA,865
54810,female,05-17,NA,NA,165
54812,female,05-17,23,91,384
54813,female,05-17,NA,NA,34
54814,female,05-17,NA,NA,250
54817,female,05-17,12,59,126
54819,female,05-17,NA,NA,190
54820,female,05-17,NA,NA,61
54821,female,05-17,NA,NA,62
54822,female,05-17,17,135,494
54824,female,05-17,NA,NA,227
54826,female,05-17,NA,NA,43
54827,female,05-17,NA,NA,3
54828,female,05-17,NA,NA,64
54829,female,05-17,23,95,362
54830,female,05-17,NA,NA,119
54832,female,05-17,NA,NA,17
54835,female,05-17,NA,NA,67
54836,female,05-17,NA,NA,82
54837,female,05-17,NA,NA,270
54838,female,05-17,NA,NA,55
54839,female,05-17,NA,NA,24
54840,female,05-17,NA,NA,342
54841,female,05-17,NA,NA,30
54842,female,05-17,NA,NA,7
54843,female,05-17,20,105,910
54844,female,05-17,NA,NA,7
54845,female,05-17,NA,NA,21
54846,female,05-17,NA,NA,63
54847,female,05-17,NA,NA,191
54848,female,05-17,33,206,486
54849,female,05-17,NA,NA,174
54850,female,05-17,NA,NA,8
54853,female,05-17,NA,NA,351
54854,female,05-17,NA,NA,105
54855,female,05-17,NA,NA,135
54856,female,05-17,NA,NA,99
54857,female,05-17,NA,NA,0
54858,female,05-17,NA,NA,106
54859,female,05-17,NA,NA,144
54861,female,05-17,NA,NA,34
54862,female,05-17,NA,NA,11
54864,female,05-17,NA,NA,142
54865,female,05-17,NA,NA,24
54867,female,05-17,NA,NA,9
54868,female,05-17,67,412,1097
54870,female,05-17,NA,NA,67
54871,female,05-17,10,50,299
54872,female,05-17,NA,NA,172
54873,female,05-17,NA,NA,96
54874,female,05-17,NA,NA,303
54875,female,05-17,NA,NA,75
54876,female,05-17,NA,NA,99
54880,female,05-17,NA,NA,2268
54888,female,05-17,NA,NA,78
54889,female,05-17,NA,NA,210
54891,female,05-17,NA,NA,169
54893,female,05-17,NA,NA,264
54895,female,05-17,NA,NA,42
54896,female,05-17,NA,NA,64
54901,female,05-17,47,302,2154
54902,female,05-17,41,188,1560
54904,female,05-17,13,159,1566
54909,female,05-17,NA,NA,210
54911,female,05-17,135,895,2001
54913,female,05-17,81,1124,1734
54914,female,05-17,154,1041,2400
54915,female,05-17,201,1900,4142
54921,female,05-17,NA,NA,93
54922,female,05-17,11,63,112
54923,female,05-17,NA,NA,740
54927,female,05-17,NA,NA,54
54928,female,05-17,NA,NA,60
54929,female,05-17,NA,NA,672
54930,female,05-17,NA,NA,122
54931,female,05-17,NA,NA,21
54932,female,05-17,NA,NA,153
54933,female,05-17,NA,NA,31
54934,female,05-17,NA,NA,9
54935,female,05-17,NA,NA,3395
54937,female,05-17,NA,NA,1664
54940,female,05-17,NA,NA,244
54941,female,05-17,NA,NA,125
54942,female,05-17,46,543,822
54943,female,05-17,NA,NA,144
54944,female,05-17,40,404,884
54945,female,05-17,NA,NA,274
54946,female,05-17,NA,NA,0
54947,female,05-17,NA,NA,114
54948,female,05-17,NA,NA,19
54949,female,05-17,NA,NA,283
54950,female,05-17,NA,NA,269
54952,female,05-17,169,944,2377
54956,female,05-17,205,1891,4171
54960,female,05-17,NA,NA,105
54961,female,05-17,NA,NA,1158
54962,female,05-17,NA,NA,94
54963,female,05-17,21,114,602
54964,female,05-17,NA,NA,106
54965,female,05-17,NA,NA,82
54966,female,05-17,NA,NA,200
54967,female,05-17,NA,NA,33
54968,female,05-17,NA,NA,269
54970,female,05-17,NA,NA,208
54971,female,05-17,NA,NA,919
54974,female,05-17,NA,NA,137
54977,female,05-17,NA,NA,75
54979,female,05-17,NA,NA,108
54980,female,05-17,NA,NA,6
54981,female,05-17,NA,NA,1041
54982,female,05-17,NA,NA,509
54983,female,05-17,NA,NA,453
54984,female,05-17,NA,NA,166
54985,female,05-17,NA,NA,0
54986,female,05-17,NA,NA,365
53001,female,18-34,20,73,163
53002,female,18-34,40,133,217
53003,female,18-34,NA,NA,0
53004,female,18-34,32,83,314
53005,female,18-34,94,529,1449
53006,female,18-34,NA,NA,144
53007,female,18-34,21,66,192
53010,female,18-34,95,289,498
53011,female,18-34,26,62,147
53012,female,18-34,111,571,1445
53013,female,18-34,25,75,269
53014,female,18-34,43,120,583
53015,female,18-34,13,47,234
53016,female,18-34,NA,NA,53
53017,female,18-34,34,197,356
53018,female,18-34,17,85,560
53019,female,18-34,13,37,155
53020,female,18-34,12,74,212
53021,female,18-34,36,129,437
53022,female,18-34,270,1034,1417
53023,female,18-34,NA,NA,121
53024,female,18-34,109,409,1752
53027,female,18-34,244,831,2036
53029,female,18-34,56,318,1633
53031,female,18-34,NA,NA,0
53032,female,18-34,54,150,432
53033,female,18-34,32,136,360
53034,female,18-34,18,48,193
53035,female,18-34,18,60,233
53036,female,18-34,NA,NA,243
53037,female,18-34,129,486,945
53038,female,18-34,23,71,500
53039,female,18-34,33,94,447
53040,female,18-34,155,504,759
53042,female,18-34,48,139,683
53044,female,18-34,NA,NA,144
53045,female,18-34,75,498,1294
53046,female,18-34,11,43,125
53047,female,18-34,NA,NA,18
53048,female,18-34,23,65,267
53049,female,18-34,NA,NA,252
53050,female,18-34,55,149,785
53051,female,18-34,379,1573,3038
53057,female,18-34,NA,NA,148
53058,female,18-34,NA,NA,321
53059,female,18-34,NA,NA,185
53061,female,18-34,19,86,423
53063,female,18-34,NA,NA,104
53065,female,18-34,NA,NA,227
53066,female,18-34,67,275,2609
53069,female,18-34,NA,NA,23
53070,female,18-34,45,162,389
53072,female,18-34,81,382,2150
53073,female,18-34,123,452,1394
53074,female,18-34,90,290,1429
53075,female,18-34,22,87,261
53076,female,18-34,37,148,342
53078,female,18-34,25,61,156
53079,female,18-34,NA,NA,109
53080,female,18-34,51,155,592
53081,female,18-34,585,1551,4924
53083,female,18-34,207,684,1856
53085,female,18-34,109,380,843
53086,female,18-34,102,381,652
53088,female,18-34,NA,NA,43
53089,female,18-34,140,681,1487
53090,female,18-34,400,1236,2172
53091,female,18-34,29,70,147
53092,female,18-34,66,479,1338
53093,female,18-34,13,64,181
53094,female,18-34,NA,NA,2421
53095,female,18-34,463,1720,2218
53097,female,18-34,26,160,437
53098,female,18-34,36,92,797
53103,female,18-34,NA,NA,273
53104,female,18-34,NA,NA,440
53105,female,18-34,79,251,2214
