name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Washington,DC,USA",2015-08-11,31.6,22.7,26.5,33.8,22.7,27.3,21.0,74.6,9.831,100,41.67,rain,0.0,0.0,50.0,23.8,214.3,1009.7,87.3,15.3,192.4,16.6,7,,2015-08-11T06:17:48,2015-08-11T20:08:15,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-12,29.3,21.6,25.6,28.7,21.6,25.5,15.5,55.3,0.0,0,0.0,,0.0,0.0,38.5,26.9,322.5,1013.3,45.1,16.0,273.6,23.7,9,,2015-08-12T06:18:42,2015-08-12T20:07:01,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-13,28.8,19.8,24.4,27.6,19.8,24.1,12.3,49.4,0.0,0,0.0,,0.0,0.0,29.5,19.6,327.2,1018.3,55.7,16.0,273.8,23.7,9,,2015-08-13T06:19:37,2015-08-13T20:05:45,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-08-14,30.5,17.9,24.3,30.1,17.9,24.2,14.6,56.8,0.0,0,0.0,,0.0,0.0,21.2,16.1,159.4,1021.5,23.8,16.0,306.3,26.4,9,,2015-08-14T06:20:31,2015-08-14T20:04:29,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-15,31.6,19.6,25.1,31.8,19.6,25.3,17.0,62.4,0.0,0,0.0,,0.0,0.0,22.7,20.0,184.6,1020.7,42.8,16.0,289.1,24.9,9,,2015-08-15T06:21:25,2015-08-15T20:03:11,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-16,33.6,20.3,26.2,33.9,20.3,26.7,17.9,62.8,0.0,0,0.0,,0.0,0.0,25.2,21.6,181.1,1020.6,33.3,15.9,283.0,24.6,9,,2015-08-16T06:22:20,2015-08-16T20:01:52,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-17,34.8,21.9,27.8,37.9,21.9,29.2,20.1,64.8,0.0,0,0.0,,0.0,0.0,21.6,20.3,179.6,1018.9,25.6,16.0,260.7,22.4,8,,2015-08-17T06:23:14,2015-08-17T20:00:33,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KIAD,KDCA,72405013743,72403793728,72403093738,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-08-18,31.9,23.0,27.0,35.4,23.0,28.4,21.4,72.9,0.0,0,0.0,,0.0,0.0,31.3,21.2,180.9,1016.0,85.3,15.8,208.3,17.9,8,,2015-08-18T06:24:08,2015-08-18T19:59:12,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-19,32.6,24.8,27.5,34.9,24.8,28.8,21.7,71.8,0.0,0,0.0,,0.0,0.0,35.6,23.5,172.9,1015.0,84.9,16.0,213.1,18.3,8,,2015-08-19T06:25:02,2015-08-19T19:57:50,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-20,29.3,23.8,26.4,33.9,23.8,27.8,23.1,82.7,5.375,100,29.17,rain,0.0,0.0,50.0,23.8,174.9,1013.5,94.0,15.9,157.1,13.6,6,,2015-08-20T06:25:57,2015-08-20T19:56:28,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-21,29.9,21.6,25.3,29.0,21.6,25.1,16.0,60.1,0.0,0,0.0,,0.0,0.0,35.3,27.2,340.8,1017.3,66.8,16.0,272.2,23.4,9,,2015-08-21T06:26:51,2015-08-21T19:55:04,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-22,29.9,18.0,24.0,28.7,18.0,23.8,13.4,54.1,0.0,0,0.0,,0.0,0.0,30.2,16.4,9.4,1019.3,34.1,16.0,299.4,25.7,9,,2015-08-22T06:27:45,2015-08-22T19:53:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-23,29.3,17.9,23.7,29.2,17.9,23.7,14.1,56.4,0.006,100,4.17,rain,0.0,0.0,20.5,16.4,137.5,1016.1,50.9,16.0,265.9,22.9,8,,2015-08-23T06:28:39,2015-08-23T19:52:15,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,72403093738,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-24,32.2,21.4,25.8,35.7,21.4,26.7,19.5,69.5,11.21,100,12.5,rain,0.0,0.0,61.0,29.8,184.9,1011.8,68.6,15.4,244.1,21.0,8,,2015-08-24T06:29:33,2015-08-24T19:50:49,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-25,28.9,20.5,24.9,28.2,20.5,24.7,15.4,58.9,0.011,100,8.33,rain,0.0,0.0,27.7,21.1,341.9,1012.7,48.3,15.9,228.6,19.7,9,,2015-08-25T06:30:27,2015-08-25T19:49:22,0.36,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-26,27.0,19.1,22.8,26.9,19.1,22.8,12.4,52.9,0.0,0,0.0,,0.0,0.0,28.4,21.7,328.3,1016.6,59.0,16.0,185.8,16.0,8,,2015-08-26T06:31:21,2015-08-26T19:47:54,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-27,27.7,17.0,22.5,27.3,17.0,22.4,13.1,57.2,0.0,0,0.0,,0.0,0.0,29.2,20.1,353.1,1019.5,46.1,16.0,185.8,16.0,8,,2015-08-27T06:32:15,2015-08-27T19:46:26,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-08-28,27.8,18.1,23.2,27.7,18.1,23.2,15.0,61.6,0.0,0,0.0,,0.0,0.0,18.0,19.3,128.1,1021.8,45.0,16.0,183.8,16.2,7,,2015-08-28T06:33:09,2015-08-28T19:44:57,0.46,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-29,31.1,19.0,25.2,31.7,19.0,25.4,17.0,62.3,0.0,0,0.0,,0.0,0.0,30.2,21.7,181.4,1021.6,76.9,16.0,219.7,18.9,8,,2015-08-29T06:34:03,2015-08-29T19:43:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-30,30.0,20.5,25.0,31.5,20.5,25.4,18.7,69.2,1.807,100,4.17,rain,0.0,0.0,27.7,20.8,189.1,1019.4,85.2,16.0,210.3,18.1,7,,2015-08-30T06:34:56,2015-08-30T19:41:58,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-08-31,30.7,23.7,26.6,32.4,23.7,27.2,19.3,64.8,0.0,0,0.0,,0.0,0.0,29.5,20.0,192.0,1018.3,81.4,16.0,200.9,17.5,7,,2015-08-31T06:35:50,2015-08-31T19:40:27,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-01,34.7,22.0,27.7,36.2,22.0,28.8,20.7,68.8,0.0,0,0.0,,0.0,0.0,23.4,13.0,215.8,1017.4,51.2,16.0,234.0,20.0,8,,2015-09-01T06:36:44,2015-09-01T19:38:56,0.6,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-02,33.3,24.0,28.2,35.1,24.0,29.0,20.8,66.6,0.011,100,4.17,rain,0.0,0.0,35.3,14.6,306.3,1015.9,80.0,15.0,202.7,17.5,7,,2015-09-02T06:37:37,2015-09-02T19:37:24,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-03,34.5,23.6,27.7,36.7,23.6,28.9,20.3,65.6,0.167,100,8.33,rain,0.0,0.0,29.5,17.1,319.7,1012.5,36.3,15.9,243.5,21.0,8,,2015-09-03T06:38:31,2015-09-03T19:35:51,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-04,32.8,23.5,27.8,35.9,23.5,29.2,20.9,67.0,0.0,0,0.0,,0.0,0.0,26.3,17.7,72.3,1015.8,64.8,15.2,221.5,19.1,8,,2015-09-04T06:39:24,2015-09-04T19:34:19,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-05,29.3,23.1,25.7,30.4,23.1,26.0,19.4,69.3,0.0,0,0.0,,0.0,0.0,32.4,22.8,80.4,1022.3,78.2,16.0,207.9,17.9,8,,2015-09-05T06:40:18,2015-09-05T19:32:45,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-06,29.9,20.1,24.5,28.6,20.1,24.3,14.7,58.3,0.0,0,0.0,,0.0,0.0,25.9,14.0,82.4,1022.4,58.7,16.0,250.7,21.6,8,,2015-09-06T06:41:11,2015-09-06T19:31:12,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-07,31.7,20.7,26.1,33.3,20.7,26.9,18.9,65.8,0.0,0,0.0,,0.0,0.0,21.2,17.4,173.2,1019.6,34.0,16.0,246.3,21.3,8,,2015-09-07T06:42:05,2015-09-07T19:29:38,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-08,33.3,21.9,27.5,35.5,21.9,28.8,20.7,68.5,0.073,100,4.17,rain,0.0,0.0,29.9,19.6,180.5,1016.9,24.5,16.0,246.0,21.3,8,,2015-09-08T06:42:58,2015-09-08T19:28:03,0.84,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-09,34.2,23.7,28.2,37.6,23.7,29.8,21.9,71.1,0.0,0,0.0,,0.0,0.0,29.5,19.6,187.2,1012.8,60.1,16.0,186.8,16.2,7,,2015-09-09T06:43:52,2015-09-09T19:26:28,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-10,28.8,21.1,24.7,31.8,21.1,25.1,21.0,80.1,2.908,100,20.83,rain,0.0,0.0,36.7,25.0,305.7,1008.7,92.3,15.7,60.0,5.4,3,,2015-09-10T06:44:45,2015-09-10T19:24:53,0.91,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-11,30.5,18.4,23.9,29.2,18.4,23.7,14.7,59.9,8.491,100,8.33,rain,0.0,0.0,35.3,22.2,328.1,1009.5,44.1,15.9,229.0,19.9,8,,2015-09-11T06:45:39,2015-09-11T19:23:18,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-12,23.8,19.6,21.8,23.8,19.6,21.8,19.1,84.9,4.27,100,20.83,rain,0.0,0.0,30.2,19.7,201.1,1006.9,70.2,15.7,87.2,7.3,3,,2015-09-12T06:46:32,2015-09-12T19:21:42,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-13,23.2,17.0,19.8,23.2,17.0,19.8,10.2,55.1,0.011,100,4.17,rain,0.0,0.0,43.0,28.8,308.0,1010.2,66.2,15.6,205.8,17.8,8,,2015-09-13T06:47:25,2015-09-13T19:20:07,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-14,26.0,12.7,19.5,26.0,12.7,19.5,7.9,49.9,0.0,0,0.0,,0.0,0.0,38.9,22.7,270.4,1020.8,7.1,16.0,260.7,22.6,8,,2015-09-14T06:48:19,2015-09-14T19:18:31,0.05,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-15,28.8,15.1,21.8,27.7,15.1,21.7,11.2,53.8,0.0,0,0.0,,0.0,0.0,16.2,12.8,304.3,1027.0,39.5,16.0,255.0,22.0,8,,2015-09-15T06:49:13,2015-09-15T19:16:54,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-16,29.3,16.7,22.8,28.3,16.7,22.6,13.5,58.9,0.0,0,0.0,,0.0,0.0,16.2,15.4,162.8,1026.4,58.0,16.0,252.4,21.8,8,,2015-09-16T06:50:06,2015-09-16T19:15:18,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-17,29.3,16.8,23.1,28.4,16.8,23.0,14.8,62.6,0.0,0,0.0,,0.0,0.0,19.8,16.1,182.3,1021.4,24.3,15.9,249.7,21.6,8,,2015-09-17T06:51:00,2015-09-17T19:13:42,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-18,29.9,17.9,23.3,29.1,17.9,23.3,15.5,64.9,0.0,0,0.0,,0.0,0.0,24.5,18.3,180.5,1016.8,17.1,15.9,247.8,21.5,8,,2015-09-18T06:51:54,2015-09-18T19:12:05,0.18,Clear,Clear conditions throughout the day.,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-19,29.9,19.2,24.0,30.0,19.2,24.3,18.6,74.3,0.0,0,0.0,,0.0,0.0,28.4,17.8,178.4,1013.7,53.7,14.7,236.7,20.3,8,,2015-09-19T06:52:47,2015-09-19T19:10:29,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-20,27.0,20.6,23.0,27.0,20.6,23.0,14.4,60.4,0.0,0,0.0,,0.0,0.0,40.7,24.1,355.4,1015.3,78.1,16.0,208.2,17.9,8,,2015-09-20T06:53:41,2015-09-20T19:08:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,KGAI,KADW,72033493764,74594013705"
"Washington,DC,USA",2015-09-21,21.0,17.1,18.8,21.0,17.1,18.8,12.2,66.7,5.447,100,29.17,rain,0.0,0.0,33.5,21.4,30.4,1020.5,95.0,15.2,93.3,8.0,4,,2015-09-21T06:54:35,2015-09-21T19:07:16,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-22,23.2,16.6,19.5,23.2,16.6,19.5,14.3,72.7,0.326,100,8.33,rain,0.0,0.0,30.6,18.1,28.4,1023.1,94.3,16.0,105.8,9.4,4,,2015-09-22T06:55:29,2015-09-22T19:05:39,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-23,26.5,16.0,20.8,26.5,16.0,20.8,11.7,59.2,0.0,0,0.0,,0.0,0.0,31.7,23.3,31.1,1023.5,56.9,15.9,234.4,20.1,8,,2015-09-23T06:56:24,2015-09-23T19:04:03,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,72403093738,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-24,26.1,15.3,20.7,26.1,15.3,20.7,11.8,59.9,0.0,0,0.0,,0.0,0.0,33.8,23.2,44.6,1024.5,83.4,15.8,223.2,19.4,8,,2015-09-24T06:57:18,2015-09-24T19:02:27,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KIAD,KDCA,72405013743,72403793728,72403093738,KGAI,KDAA,KADW,72033493764,74594013705"
"Washington,DC,USA",2015-09-25,22.2,17.7,20.0,22.2,17.7,20.0,14.3,69.9,0.0,0,0.0,,0.0,0.0,43.9,26.4,50.7,1025.2,94.0,16.0,95.4,8.3,4,,2015-09-25T06:58:13,2015-09-25T19:00:51,0.42,Overcast,Cloudy skies throughout the day.,cloudy,"KDCA,72405013743,72403793728,KGAI,KDAA,KADW,72033493764,74594013705"
"Washington,DC,USA",2015-09-26,22.8,18.2,19.8,22.8,18.2,19.8,12.5,63.2,0.173,100,16.67,rain,0.0,0.0,42.2,32.1,58.5,1027.3,93.8,15.9,136.1,11.6,6,,2015-09-26T06:59:08,2015-09-26T18:59:15,0.45,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-27,23.3,16.7,19.9,23.3,16.7,19.9,14.8,72.7,0.011,100,4.17,rain,0.0,0.0,43.2,21.9,51.2,1026.9,90.8,16.0,125.7,10.8,6,,2015-09-27T07:00:02,2015-09-27T18:57:39,0.5,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-09-28,27.8,19.3,22.9,28.8,19.3,23.1,18.6,77.5,0.025,100,4.17,rain,0.0,0.0,32.0,15.9,78.2,1021.6,93.7,15.6,128.1,11.1,5,,2015-09-28T07:00:58,2015-09-28T18:56:03,0.52,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-29,26.6,21.6,23.9,26.6,21.6,23.9,21.6,87.7,42.387,100,33.33,rain,0.0,0.0,49.0,23.3,95.2,1014.3,93.6,13.7,81.3,7.0,4,,2015-09-29T07:01:53,2015-09-29T18:54:28,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-09-30,24.9,18.3,22.6,24.9,18.3,22.6,19.9,85.5,2.494,100,8.33,rain,0.0,0.0,45.4,32.5,340.3,1008.6,99.3,15.2,85.1,7.5,4,,2015-09-30T07:02:48,2015-09-30T18:52:53,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-10-01,17.8,13.8,14.6,17.8,13.8,14.6,13.2,91.3,20.493,100,62.5,rain,0.0,0.0,38.9,28.0,12.7,1016.7,100.0,9.5,22.5,1.9,1,,2015-10-01T07:03:44,2015-10-01T18:51:18,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,KGAI,KADW,KDAA,72033493764,74594013705"
"Washington,DC,USA",2015-10-02,14.3,10.0,11.9,14.3,10.0,11.9,10.5,91.2,25.128,100,100.0,rain,0.0,0.0,51.6,35.6,23.6,1018.8,99.9,11.2,13.8,1.3,0,,2015-10-02T07:04:40,2015-10-02T18:49:44,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,72403093738,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-10-03,14.4,10.0,12.1,14.4,6.4,11.7,11.1,93.5,5.792,100,66.67,rain,0.0,0.0,55.4,35.2,36.1,1019.8,100.0,9.2,34.0,2.9,2,,2015-10-03T07:05:36,2015-10-03T18:48:10,0.69,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72405013743,KDCA,72403793728,72403093738,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-10-04,15.0,12.8,13.9,15.0,12.8,13.9,11.2,84.1,0.38,100,20.83,rain,0.0,0.0,47.7,34.9,35.2,1022.2,100.0,14.8,57.7,4.9,3,,2015-10-04T07:06:33,2015-10-04T18:46:36,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-10-05,19.9,11.6,15.0,19.9,11.6,15.0,9.2,69.4,0.0,0,0.0,,0.0,0.0,33.1,21.3,33.5,1020.9,62.1,16.0,188.2,16.1,7,,2015-10-05T07:07:29,2015-10-05T18:45:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
"Washington,DC,USA",2015-10-06,24.2,10.4,16.8,24.2,10.4,16.8,10.1,68.2,0.0,0,0.0,,0.0,0.0,16.2,14.2,347.5,1017.8,37.6,16.0,203.2,17.4,7,,2015-10-06T07:08:26,2015-10-06T18:43:30,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
